Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1999-12-31,111.4,113.4,110.8,112.1,2678700.0,0.0,1.0,25.168201715245,25.620054528804,25.032645871177,25.326350199991,10714800.0
1999-12-30,111.9,112.9,108.8,111.4,6849400.0,0.0,1.0,25.281164918635,25.507091325414,24.580793057618,25.168201715245,27397600.0
1999-12-29,105.7,110.2,105.6,110.0,5687500.0,0.0,1.0,23.880421196601,24.897090027109,23.857828555923,24.851904745753,22750000.0
1999-12-28,104.1,108.6,102.0,106.1,8557900.0,0.0,1.0,23.518938945754,24.535607776262,23.044493491517,23.970791759313,34231600.0
1999-12-27,108.6,108.7,102.1,104.4,9701400.0,0.0,1.0,24.535607776262,24.55820041694,23.067086132195,23.586716867788,38805600.0
1999-12-23,105.8,110.5,105.3,106.7,14004000.0,0.0,1.0,23.903013837279,24.964867949143,23.790050633889,24.106347603381,56016000.0
1999-12-22,99.81,105.4,99.0,105.1,13663200.0,0.0,1.0,22.54971466067,23.812643274567,22.366714271178,23.744865352534,54652800.0
1999-12-21,97.31,99.38,95.13,97.69,15089300.0,0.0,1.0,21.984898643721,22.452566305754,21.492379076941,22.070750678297,60357200.0
1999-12-20,94.75,98.25,94.25,96.31,17587600.0,0.0,1.0,21.406527042365,22.197269466093,21.293563838975,21.758972236941,70350400.0
1999-12-17,92.0,94.81,90.27,90.69,20493800.0,0.0,1.0,20.785229423721,21.420082626772,20.394376739992,20.48926583084,81975200.0
1999-12-16,89.63,90.63,87.38,89.56,14900000.0,0.0,1.0,20.249783839653,20.475710246433,19.741449424399,20.233968991179,59600000.0
1999-12-15,85.19,91.44,82.88,90.38,37042400.0,0.0,1.0,19.246670593552,20.658710635925,18.724780593891,20.419228644738,148169600.0
1999-12-14,80.63,82.88,76.38,76.94,18913800.0,0.0,1.0,18.216446178637,18.724780593891,17.256258949824,17.382777737621,75655200.0
1999-12-13,84.0,84.06,79.56,79.81,15093000.0,0.0,1.0,18.977818169484,18.991373753891,17.974704923383,18.031186525078,60372000.0
1999-12-10,79.5,84.75,77.44,84.63,12408900.0,0.0,1.0,17.961149338976,19.147262974569,17.49574094101,19.120151805756,49635600.0
1999-12-09,77.06,79.44,77.0,78.56,16650100.0,0.0,1.0,17.409888906434,17.94759375457,17.396333322027,17.748778516604,66600400.0
1999-12-08,78.5,79.0,75.88,76.13,10731400.0,0.0,1.0,17.735222932197,17.848186135587,17.143295746434,17.199777348129,42925600.0
1999-12-07,78.31,80.13,76.31,79.25,12972200.0,0.0,1.0,17.692296914909,18.103482975247,17.24044410135,17.904667737281,51888800.0
1999-12-06,78.75,79.88,77.56,78.44,9670800.0,0.0,1.0,17.791704533892,18.047001373553,17.522852109824,17.72166734779,38683200.0
1999-12-03,77.63,81.81,77.0,78.69,18675700.0,0.0,1.0,17.538666958299,18.483039338637,17.396333322027,17.778148949485,74702800.0
1999-12-02,70.94,76.0,70.88,75.94,12334600.0,0.0,1.0,16.027219296943,17.170406915248,16.013663712536,17.156851330841,49338400.0
1999-12-01,68.44,70.81,67.5,70.69,10064100.0,0.0,1.0,15.462403279994,15.997848864062,15.250032457621,15.970737695248,40256400.0
1999-11-30,72.69,72.75,67.23,67.81,15981700.0,0.0,1.0,16.422590508807,16.436146093214,15.189032327791,15.320069643723,63926800.0
1999-11-29,72.81,75.0,71.06,72.56,8909100.0,0.0,1.0,16.449701677621,16.944480508468,16.054330465757,16.393220075926,35636400.0
1999-11-26,71.0,73.88,70.81,73.63,4617500.0,0.0,1.0,16.04077488135,16.691442932875,15.997848864062,16.63496133118,18470000.0
1999-11-24,72.94,72.94,68.75,71.81,18255600.0,0.0,1.0,16.479072110502,16.479072110502,15.532440466096,16.223775270841,73022400.0
1999-11-23,77.88,77.88,73.19,73.5,16241900.0,0.0,1.0,17.595148559993,17.595148559993,16.535553712197,16.605590898299,64967600.0
1999-11-22,75.69,77.88,74.88,77.44,10142600.0,0.0,1.0,17.100369729146,17.595148559993,16.917369339655,17.49574094101,40570400.0
1999-11-19,74.13,78.19,73.38,76.13,15021500.0,0.0,1.0,16.74792453457,17.665185746095,16.578479729485,17.199777348129,60086000.0
1999-11-18,71.75,74.69,69.06,74.19,16203700.0,0.0,1.0,16.210219686435,16.874443322367,15.602477652198,16.761480118977,64814800.0
1999-11-17,69.75,72.38,68.63,69.81,25060600.0,0.0,1.0,15.758366872875,16.352553322706,15.505329297282,15.771922457282,100242400.0
1999-11-16,64.31,65.44,64.0,64.5,14524400.0,0.0,1.0,14.529327219995,14.784624059656,14.459290033893,14.572253237283,58097600.0
1999-11-15,65.44,65.94,64.0,64.06,10642100.0,0.0,1.0,14.784624059656,14.897587263045,14.459290033893,14.4728456183,42568400.0
1999-11-12,63.25,66.75,61.75,65.13,17433400.0,0.0,1.0,14.289845228808,15.080587652537,13.950955618639,14.714586873554,69733600.0
1999-11-11,59.63,62.88,59.5,62.06,11990100.0,0.0,1.0,13.471991636266,14.2062524583,13.442621203385,14.020992804741,47960400.0
1999-11-10,58.19,60.0,57.44,58.88,12743000.0,0.0,1.0,13.146657610504,13.555584406775,12.977212805419,13.302546831181,50972000.0
1999-11-09,59.88,59.88,57.75,58.44,13892300.0,0.0,1.0,13.528473237961,13.528473237961,13.047249991521,13.203139212198,55569200.0
1999-11-08,59.63,60.09,58.81,59.44,13581600.0,0.0,1.0,13.471991636266,13.575917783385,13.286731982707,13.429065618978,54326400.0
1999-11-05,59.75,61.38,58.5,58.69,21038900.0,0.0,1.0,13.49910280508,13.86736284813,13.216694796605,13.259620813893,84155600.0
1999-11-04,58.19,59.0,57.63,58.19,20925200.0,0.0,1.0,13.146657610504,13.329657999995,13.020138822707,13.146657610504,83700800.0
1999-11-03,55.38,57.75,55.0,57.31,21816000.0,0.0,1.0,12.511804407453,13.047249991521,12.425952372877,12.947842372538,87264000.0
1999-11-02,51.38,53.88,51.38,53.0,20941200.0,0.0,1.0,11.608098780335,12.172914797284,11.608098780335,11.974099559318,83764800.0
1999-11-01,48.13,52.44,47.88,51.19,22583800.0,0.0,1.0,10.873837958301,11.847580771521,10.817356356606,11.565172763047,90335200.0
1999-10-29,46.06,48.75,46.0,47.56,13477100.0,0.0,1.0,10.406170296267,11.013912330504,10.392614711861,10.745059906437,53908400.0
1999-10-28,45.31,45.94,43.75,45.88,9911600.0,0.0,1.0,10.236725491183,10.379059127454,9.8842802966065,10.365503543047,39646400.0
1999-10-27,43.47,45.06,43.25,44.81,9778200.0,0.0,1.0,9.8210209027082,10.180243889488,9.7713170932167,10.123762287793,39112800.0
1999-10-26,43.5,43.5,42.75,43.44,10642300.0,0.0,1.0,9.8277986949116,9.8277986949116,9.6583538898269,9.8142431105048,42569200.0
1999-10-25,43.63,44.31,43.13,43.31,10475700.0,0.0,1.0,9.8571691277929,10.010799084403,9.7442059244032,9.7848726776235,41902800.0
1999-10-22,45.38,45.94,43.56,44.13,10177600.0,0.0,1.0,10.252540339657,10.379059127454,9.8413542793184,9.9701323311827,40710400.0
1999-10-21,42.19,45.75,42.0,45.19,13823800.0,0.0,1.0,9.5318351020303,10.336133110166,9.4889090847422,10.209614322369,55295200.0
1999-10-20,44.44,44.81,43.94,44.75,11299300.0,0.0,1.0,10.040169517284,10.123762287793,9.9272063138946,10.110206703386,45197200.0
1999-10-19,44.63,44.81,43.06,43.81,9854700.0,0.0,1.0,10.083095534573,10.123762287793,9.7283910759286,9.8978358810133,39418800.0
1999-10-18,44.88,45.06,42.69,43.88,11759400.0,0.0,1.0,10.139577136267,10.180243889488,9.6447983054201,9.9136507294878,47037600.0
1999-10-15,46.31,46.5,44.75,45.0,14211400.0,0.0,1.0,10.462651897962,10.50557791525,10.110206703386,10.166688305081,56845600.0
1999-10-14,47.38,47.5,46.13,46.78,11888600.0,0.0,1.0,10.704393153216,10.73150432203,10.421985144742,10.568837309149,47554400.0
1999-10-13,46.19,48.13,46.13,47.44,14264300.0,0.0,1.0,10.435540729149,10.873837958301,10.421985144742,10.717948737623,57057200.0
1999-10-12,45.94,47.81,45.88,47.0,11383900.0,0.0,1.0,10.379059127454,10.801541508132,10.365503543047,10.61854111864,45535600.0
1999-10-11,45.06,46.75,44.94,46.06,6324900.0,0.0,1.0,10.180243889488,10.562059516945,10.153132720674,10.406170296267,25299600.0
1999-10-08,44.63,45.63,43.38,45.25,7137800.0,0.0,1.0,10.083095534573,10.309021941352,9.800687526098,10.223169906776,28551200.0
1999-10-07,45.19,45.44,44.38,44.69,9589900.0,0.0,1.0,10.209614322369,10.266095924064,10.026613932878,10.096651118979,38359600.0
1999-10-06,46.44,46.75,45.69,45.88,7827500.0,0.0,1.0,10.492022330844,10.562059516945,10.322577525759,10.365503543047,31310000.0
1999-10-05,46.69,46.88,45.5,46.25,11573000.0,0.0,1.0,10.548503932538,10.591429949827,10.279651508471,10.449096313555,46292000.0
1999-10-04,45.44,46.63,45.06,46.5,10200400.0,0.0,1.0,10.266095924064,10.534948348132,10.180243889488,10.50557791525,40801600.0
1999-10-01,44.69,45.88,44.44,45.25,8642700.0,0.0,1.0,10.096651118979,10.365503543047,10.040169517284,10.223169906776,34570800.0
1999-09-30,43.38,45.88,42.5,45.5,14644300.0,0.0,1.0,9.800687526098,10.365503543047,9.601872288132,10.279651508471,58577200.0
1999-09-29,42.75,45.06,42.75,43.31,11450400.0,0.0,1.0,9.6583538898269,10.180243889488,9.6583538898269,9.7848726776235,45801600.0
1999-09-28,42.0,43.0,41.19,42.88,9449600.0,0.0,1.0,9.4889090847422,9.7148354915218,9.3059086952508,9.6877243227083,37798400.0
1999-09-27,43.19,43.63,42.19,42.31,10442400.0,0.0,1.0,9.7577615088099,9.8571691277929,9.5318351020303,9.5589462708439,41769600.0
1999-09-24,43.0,43.56,41.06,42.19,12691400.0,0.0,1.0,9.7148354915218,9.8413542793184,9.2765382623694,9.5318351020303,50765600.0
1999-09-23,45.75,46.13,43.0,43.5,10061500.0,0.0,1.0,10.336133110166,10.421985144742,9.7148354915218,9.8277986949116,40246000.0
1999-09-22,44.5,45.75,43.88,45.69,9501200.0,0.0,1.0,10.053725101691,10.336133110166,9.9136507294878,10.322577525759,38004800.0
1999-09-21,44.81,46.0,43.88,44.5,13411200.0,0.0,1.0,10.123762287793,10.392614711861,9.9136507294878,10.053725101691,53644800.0
1999-09-20,43.75,45.5,43.38,45.13,10505200.0,0.0,1.0,9.8842802966065,10.279651508471,9.800687526098,10.196058737962,42020800.0
1999-09-17,42.38,43.75,42.34,43.56,16100000.0,0.0,1.0,9.5747611193185,9.8842802966065,9.5657240630473,9.8413542793184,64400000.0
1999-09-16,42.69,42.97,41.69,42.19,15439600.0,0.0,1.0,9.6447983054201,9.7080576993184,9.4188718986406,9.5318351020303,61758400.0
1999-09-15,40.06,43.44,39.88,42.69,64162400.0,0.0,1.0,9.0506118555899,9.8142431105048,9.0099451023695,9.6447983054201,256649600.0
1999-09-14,46.0,46.44,43.69,45.44,20161300.0,0.0,1.0,10.392614711861,10.492022330844,9.8707247121997,10.266095924064,80645200.0
1999-09-13,46.44,46.69,44.5,45.75,14920700.0,0.0,1.0,10.492022330844,10.548503932538,10.053725101691,10.336133110166,59682800.0
1999-09-10,44.5,46.94,44.25,46.38,16097000.0,0.0,1.0,10.053725101691,10.604985534233,9.9972434999963,10.478466746437,64388000.0
1999-09-09,44.25,44.5,43.13,44.06,12837500.0,0.0,1.0,9.9972434999963,10.053725101691,9.7442059244032,9.9543174827082,51350000.0
1999-09-08,43.38,44.81,43.06,44.31,17754800.0,0.0,1.0,9.800687526098,10.123762287793,9.7283910759286,10.010799084403,71019200.0
1999-09-07,41.5,44.81,41.22,43.81,24372100.0,0.0,1.0,9.3759458813524,10.123762287793,9.3126864874542,9.8978358810133,97488400.0
1999-09-03,38.88,41.63,38.88,41.5,25699700.0,0.0,1.0,8.78401869559,9.4053163142338,8.78401869559,9.3759458813524,102798800.0
1999-09-02,37.25,38.88,37.13,38.44,12100400.0,0.0,1.0,8.4157586525392,8.78401869559,8.3886474837257,8.6846110766069,48401600.0
1999-09-01,36.63,38.19,36.56,37.69,9931400.0,0.0,1.0,8.2756842803359,8.628129474912,8.2598694318613,8.5151662715223,39725600.0
1999-08-31,36.5,36.56,35.44,36.5,6098100.0,0.0,1.0,8.2463138474546,8.2598694318613,8.0068318562682,8.2463138474546,24392400.0
1999-08-30,36.94,37.06,36.25,36.5,4346300.0,0.0,1.0,8.3457214664376,8.3728326352511,8.1898322457597,8.2463138474546,17385200.0
1999-08-27,37.06,37.38,36.06,37.0,5798100.0,0.0,1.0,8.3728326352511,8.4451290854206,8.1469062284715,8.3592770508443,23192400.0
1999-08-26,36.94,38.0,36.94,37.13,7013400.0,0.0,1.0,8.3457214664376,8.5852034576239,8.3457214664376,8.3886474837257,28053600.0
