Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,46.63,46.82,45.0,45.38,18566310.0,0.0,1.0,46.63,46.82,45.0,45.38,18566310.0
2018-03-26,45.55,46.64,45.385,46.48,19751401.0,0.0,1.0,45.55,46.64,45.385,46.48,19751401.0
2018-03-23,45.98,46.34,44.76,44.79,21296732.0,0.0,1.0,45.98,46.34,44.76,44.79,21296732.0
2018-03-22,46.72,47.0215,45.73,45.89,25449926.0,0.0,1.0,46.72,47.0215,45.73,45.89,25449926.0
2018-03-21,47.29,48.06,47.01,47.02,34523536.0,0.0,1.0,47.29,48.06,47.01,47.02,34523536.0
2018-03-20,46.8,47.75,46.43,47.05,68331479.0,0.0,1.0,46.8,47.75,46.43,47.05,68331479.0
2018-03-19,52.43,52.58,51.51,51.95,23478850.0,0.0,1.0,52.43,52.58,51.51,51.95,23478850.0
2018-03-16,52.4,52.69,52.25,52.27,17883567.0,0.0,1.0,52.4,52.69,52.25,52.27,17883567.0
2018-03-15,52.22,52.665,52.11,52.37,11679999.0,0.0,1.0,52.22,52.665,52.11,52.37,11679999.0
2018-03-14,52.88,53.15,52.18,52.32,10877757.0,0.0,1.0,52.88,53.15,52.18,52.32,10877757.0
2018-03-13,53.24,53.48,52.34,52.58,12640710.0,0.0,1.0,53.24,53.48,52.34,52.58,12640710.0
2018-03-12,52.98,53.44,52.665,52.9,14076625.0,0.0,1.0,52.98,53.44,52.665,52.9,14076625.0
2018-03-09,52.35,53.0,52.2,52.97,15761851.0,0.0,1.0,52.35,53.0,52.2,52.97,15761851.0
2018-03-08,51.94,52.16,51.465,52.13,14106457.0,0.0,1.0,51.94,52.16,51.465,52.13,14106457.0
2018-03-07,51.06,51.81,51.03,51.72,11727303.0,0.0,1.0,51.06,51.81,51.03,51.72,11727303.0
2018-03-06,51.56,51.79,51.22,51.5,13831556.0,0.0,1.0,51.56,51.79,51.22,51.5,13831556.0
2018-03-05,49.9,51.49,49.85,51.29,18771549.0,0.0,1.0,49.9,51.49,49.85,51.29,18771549.0
2018-03-02,49.33,50.4,49.155,50.32,17290989.0,0.0,1.0,49.33,50.4,49.155,50.32,17290989.0
2018-03-01,50.96,50.96,49.415,49.71,16539779.0,0.0,1.0,50.96,50.96,49.415,49.71,16539779.0
2018-02-28,51.06,51.5,50.67,50.67,14586818.0,0.0,1.0,51.06,51.5,50.67,50.67,14586818.0
2018-02-27,51.07,51.4,50.535,50.73,14271722.0,0.0,1.0,51.07,51.4,50.535,50.73,14271722.0
2018-02-26,50.59,51.26,50.5,51.17,12510429.0,0.0,1.0,50.59,51.26,50.5,51.17,12510429.0
2018-02-23,49.79,50.57,49.62,50.5,8639157.0,0.0,1.0,49.79,50.57,49.62,50.5,8639157.0
