Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1997-12-31,22.38,22.5,22.0,22.31,8587000.0,0.0,1.0,3.3708219891513,3.3888961016937,3.3135872994338,3.3602787568349,51522000.0
1997-12-30,21.81,22.38,21.75,22.38,7321867.0,0.0,1.0,3.284969954575,3.3708219891513,3.2759328983039,3.3708219891513,43931202.0
1997-12-29,21.94,22.0,21.44,21.75,7625200.0,0.0,1.0,3.3045502431626,3.3135872994338,3.2292414409028,3.2759328983039,45751200.0
1997-12-26,21.25,21.44,21.06,21.44,3762400.0,0.0,1.0,3.200624096044,3.2292414409028,3.1720067511853,3.2292414409028,22574400.0
1997-12-24,21.13,21.38,21.0,21.06,4831000.0,0.0,1.0,3.1825499835016,3.2202043846316,3.1629696949141,3.1720067511853,28986000.0
1997-12-23,21.88,21.88,20.94,21.13,10437400.0,0.0,1.0,3.2955131868914,3.2955131868914,3.1539326386429,3.1825499835016,62624400.0
1997-12-22,21.94,22.75,21.63,21.75,9729667.0,0.0,1.0,3.3045502431626,3.4265505028236,3.2578587857615,3.2759328983039,58378002.0
1997-12-19,21.63,22.19,21.0,21.63,17535267.0,0.0,1.0,3.2578587857615,3.3422046442925,3.1629696949141,3.2578587857615,105211602.0
1997-12-18,23.0,23.0,22.0,22.0,12012467.0,0.0,1.0,3.4642049039535,3.4642049039535,3.3135872994338,3.3135872994338,72074802.0
1997-12-17,23.63,23.75,22.38,22.63,13181400.0,0.0,1.0,3.5590939948009,3.5771681073433,3.3708219891513,3.4084763902812,79088400.0
1997-12-16,23.44,23.56,23.13,23.31,14047200.0,0.0,1.0,3.5304766499422,3.5485507624846,3.4837851925411,3.5108963613546,84283200.0
1997-12-15,23.31,23.44,22.81,23.19,15045200.0,0.0,1.0,3.5108963613546,3.5304766499422,3.4355875590948,3.4928222488123,90271200.0
1997-12-12,22.38,22.97,21.94,22.75,18472467.0,0.0,1.0,3.3708219891513,3.4596863758179,3.3045502431626,3.4265505028236,110834802.0
1997-12-11,23.25,23.44,21.75,21.94,32973667.0,0.0,1.0,3.5018593050834,3.5304766499422,3.2759328983039,3.3045502431626,197842002.0
1997-12-10,23.63,23.88,22.75,23.44,66286267.0,0.0,1.0,3.5590939948009,3.5967483959309,3.4265505028236,3.5304766499422,397717602.0
1997-12-09,23.0,24.0,22.38,22.94,171827200.0,0.0,1.0,3.4642049039535,3.6148225084732,3.3708219891513,3.4551678476823,1030963200.0
1997-12-08,31.88,32.5,31.31,32.38,8174267.0,0.0,1.0,4.8016892320886,4.8950721468908,4.7158371975124,4.8769980343485,49045602.0
1997-12-05,30.25,31.5,30.19,31.19,7777400.0,0.0,1.0,4.5561825367215,4.7444545423711,4.5471454804503,4.69776308497,46664400.0
1997-12-04,30.75,31.38,30.19,30.25,6943000.0,0.0,1.0,4.6314913389813,4.7263804298287,4.5471454804503,4.5561825367215,41658000.0
1997-12-03,30.19,30.63,29.63,30.25,12218867.0,0.0,1.0,4.5471454804503,4.613417226439,4.4627996219192,4.5561825367215,73313202.0
1997-12-02,31.63,31.69,30.0,30.38,10145867.0,0.0,1.0,4.7640348309587,4.7730718872299,4.5185281355915,4.575762825309,60875202.0
1997-12-01,32.25,32.38,31.25,31.88,12286467.0,0.0,1.0,4.8574177457609,4.8769980343485,4.7068001412412,4.8016892320886,73718802.0
1997-11-28,32.88,33.5,32.5,33.31,2300067.0,0.0,1.0,4.9523068366083,5.0456897514106,4.8950721468908,5.0170724065518,13800402.0
1997-11-26,33.81,34.19,32.63,32.88,4913800.0,0.0,1.0,5.0923812088117,5.1496158985292,4.9146524354784,4.9523068366083,29482800.0
1997-11-25,33.63,34.0,32.63,33.44,7671400.0,0.0,1.0,5.0652700399981,5.1209985536704,4.9146524354784,5.0366526951394,46028400.0
1997-11-24,34.13,34.25,32.0,32.5,10621000.0,0.0,1.0,5.140578842258,5.1586529548003,4.819763344631,4.8950721468908,63726000.0
1997-11-21,35.75,35.88,34.38,35.0,5211800.0,0.0,1.0,5.3845793615799,5.4041596501675,5.1782332433879,5.2716161581901,31270800.0
1997-11-20,35.13,35.81,34.63,35.19,4014200.0,0.0,1.0,5.2911964467777,5.3936164178511,5.2158876445178,5.3002335030489,24085200.0
1997-11-19,34.75,35.0,34.0,34.81,3110600.0,0.0,1.0,5.2339617570602,5.2716161581901,5.1209985536704,5.2429988133314,18663600.0
1997-11-18,35.38,35.44,34.63,34.75,3497400.0,0.0,1.0,5.3288508479076,5.3378879041788,5.2158876445178,5.2339617570602,20984400.0
1997-11-17,35.19,36.13,35.0,35.25,7358000.0,0.0,1.0,5.3002335030489,5.4418140512974,5.2716161581901,5.3092705593201,44148000.0
