Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-12-29,47.53,47.88,47.28,47.28,9680925.0,0.0,1.0,47.53,47.88,47.28,47.28,9680925.0
2017-12-28,47.3,47.55,47.3,47.52,7755174.0,0.0,1.0,47.3,47.55,47.3,47.52,7755174.0
2017-12-27,47.25,47.47,47.15,47.38,8021017.0,0.0,1.0,47.25,47.47,47.15,47.38,8021017.0
2017-12-26,47.37,47.58,47.25,47.43,7519415.0,0.0,1.0,47.37,47.58,47.25,47.43,7519415.0
2017-12-22,47.23,47.4,47.095,47.36,11132353.0,0.0,1.0,47.23,47.4,47.095,47.36,11132353.0
2017-12-21,48.08,48.11,47.23,47.28,17680580.0,0.0,1.0,48.08,48.11,47.23,47.28,17680580.0
2017-12-20,47.98,48.05,47.79,47.9,11308080.0,0.0,1.0,47.98,48.05,47.79,47.9,11308080.0
2017-12-19,47.985,48.35,47.74,47.82,28137680.0,0.0,1.0,47.985,48.35,47.74,47.82,28137680.0
2017-12-18,48.53,48.85,47.68,47.71,24690916.0,0.0,1.0,48.53,48.85,47.68,47.71,24690916.0
2017-12-15,48.345,48.48,47.0,48.3,74685840.0,0.0,1.0,48.345,48.48,47.0,48.3,74685840.0
2017-12-14,50.2,50.4,49.94,50.19,20634580.0,0.0,1.0,50.2,50.4,49.94,50.19,20634580.0
2017-12-13,50.33,50.51,50.01,50.05,16178966.0,0.0,1.0,50.33,50.51,50.01,50.05,16178966.0
2017-12-12,50.0,50.71,49.95,50.39,17368425.0,0.0,1.0,50.0,50.71,49.95,50.39,17368425.0
2017-12-11,49.61,50.5,49.56,50.47,15099522.0,0.0,1.0,49.61,50.5,49.56,50.47,15099522.0
2017-12-08,48.9,49.69,48.7,49.6,14404743.0,0.0,1.0,48.9,49.69,48.7,49.6,14404743.0
2017-12-07,48.37,48.81,48.3,48.52,13410242.0,0.0,1.0,48.37,48.81,48.3,48.52,13410242.0
2017-12-06,47.88,48.585,47.63,48.42,12937589.0,0.0,1.0,47.88,48.585,47.63,48.42,12937589.0
2017-12-05,48.21,48.65,47.965,47.99,17742443.0,0.0,1.0,48.21,48.65,47.965,47.99,17742443.0
2017-12-04,49.82,49.82,48.36,48.4,13352194.0,0.0,1.0,49.82,49.82,48.36,48.4,13352194.0
2017-12-01,49.05,50.0,48.9,49.61,15742077.0,0.0,1.0,49.05,50.0,48.9,49.61,15742077.0
2017-11-30,48.89,49.33,48.89,49.06,24084949.0,0.0,1.0,48.89,49.33,48.89,49.06,24084949.0
2017-11-29,48.85,48.86,48.2,48.52,12953601.0,0.0,1.0,48.85,48.86,48.2,48.52,12953601.0
2017-11-28,48.88,49.2,48.85,49.01,13841780.0,0.0,1.0,48.88,49.2,48.85,49.01,13841780.0
2017-11-27,48.94,49.22,48.75,48.88,13190813.0,0.0,1.0,48.94,49.22,48.75,48.88,13190813.0
2017-11-24,48.88,49.13,48.69,49.01,6008333.0,0.0,1.0,48.88,49.13,48.69,49.01,6008333.0
2017-11-22,48.56,48.83,48.42,48.58,10618868.0,0.0,1.0,48.56,48.83,48.42,48.58,10618868.0
2017-11-21,49.0,49.1,48.5,48.63,18024131.0,0.0,1.0,49.0,49.1,48.5,48.63,18024131.0
2017-11-20,49.04,49.16,48.92,49.02,11327720.0,0.0,1.0,49.04,49.16,48.92,49.02,11327720.0
2017-11-17,49.0,49.23,48.85,48.94,9965493.0,0.0,1.0,49.0,49.23,48.85,48.94,9965493.0
2017-11-16,49.11,49.62,49.01,49.2,11597324.0,0.0,1.0,49.11,49.62,49.01,49.2,11597324.0
2017-11-15,48.88,49.075,48.73,48.82,9352084.0,0.0,1.0,48.88,49.075,48.73,48.82,9352084.0
2017-11-14,49.32,49.33,48.9,49.2,8438815.0,0.0,1.0,49.32,49.33,48.9,49.2,8438815.0
2017-11-13,49.1,49.43,49.055,49.4,6287832.0,0.0,1.0,49.1,49.43,49.055,49.4,6287832.0
2017-11-10,49.0,49.37,48.745,49.32,9818996.0,0.0,1.0,49.0,49.37,48.745,49.32,9818996.0
2017-11-09,50.14,50.22,48.54,49.24,16153934.0,0.0,1.0,50.14,50.22,48.54,49.24,16153934.0
2017-11-07,50.43,50.58,50.08,50.49,6782345.0,0.0,1.0,50.43,50.58,50.08,50.49,6782345.0
2017-11-06,50.1,50.55,50.0224,50.4,9636550.0,0.0,1.0,50.1,50.55,50.0224,50.4,9636550.0
2017-11-03,50.36,50.44,50.16,50.18,15812451.0,0.0,1.0,50.36,50.44,50.16,50.18,15812451.0
2017-11-02,50.54,50.7,50.12,50.28,10348803.0,0.0,1.0,50.54,50.7,50.12,50.28,10348803.0
2017-11-01,51.1,51.17,50.57,50.64,10064430.0,0.0,1.0,51.1,51.17,50.57,50.64,10064430.0
2017-10-31,50.73,51.28,50.45,50.9,14104114.0,0.0,1.0,50.73,51.28,50.45,50.9,14104114.0
2017-10-30,50.63,50.75,50.235,50.68,9013256.0,0.0,1.0,50.63,50.75,50.235,50.68,9013256.0
2017-10-27,50.29,50.97,50.03,50.88,14960486.0,0.0,1.0,50.29,50.97,50.03,50.88,14960486.0
2017-10-26,50.11,50.3,49.77,50.15,16915265.0,0.0,1.0,50.11,50.3,49.77,50.15,16915265.0
2017-10-25,49.89,50.65,49.64,49.705,19163506.0,0.0,1.0,49.89,50.65,49.64,49.705,19163506.0
2017-10-24,49.33,50.14,49.25,49.98,17212076.0,0.0,1.0,49.33,50.14,49.25,49.98,17212076.0
2017-10-23,49.28,49.66,49.22,49.31,14600343.0,0.0,1.0,49.28,49.66,49.22,49.31,14600343.0
2017-10-20,49.54,49.79,49.16,49.25,15467878.0,0.0,1.0,49.54,49.79,49.16,49.25,15467878.0
2017-10-19,49.44,49.67,49.19,49.35,10036371.0,0.0,1.0,49.44,49.67,49.19,49.35,10036371.0
2017-10-18,49.5,49.76,49.16,49.58,12061640.0,0.0,1.0,49.5,49.76,49.16,49.58,12061640.0
2017-10-17,48.82,49.3,48.71,49.19,12921747.0,0.0,1.0,48.82,49.3,48.71,49.19,12921747.0
2017-10-16,48.61,48.91,48.49,48.86,9358504.0,0.0,1.0,48.61,48.91,48.49,48.86,9358504.0
2017-10-13,48.37,48.71,48.33,48.61,9766723.0,0.0,1.0,48.37,48.71,48.33,48.61,9766723.0
2017-10-12,48.27,48.48,48.11,48.23,11426690.0,0.0,1.0,48.27,48.48,48.11,48.23,11426690.0
2017-10-11,48.16,48.47,48.16,48.28,11985748.0,0.0,1.0,48.16,48.47,48.16,48.28,11985748.0
2017-10-10,48.16,48.46,48.0,48.21,15628634.0,0.19,1.0,48.16,48.46,48.0,48.21,15628634.0
2017-10-09,48.36,48.58,48.17,48.36,10168040.0,0.0,1.0,48.170157024793,48.38929338843,47.980902892562,48.170157024793,10168040.0
2017-10-06,48.64,48.7,48.22,48.4,16229837.0,0.0,1.0,48.44905785124,48.50882231405,48.03070661157,48.21,16229837.0
2017-10-05,48.96,49.03,48.5,48.91,13397541.0,0.0,1.0,48.767801652893,48.837526859504,48.309607438017,48.717997933884,13397541.0
2017-10-04,48.99,49.19,48.76,48.9,15064090.0,0.0,1.0,48.797683884298,48.996898760331,48.56858677686,48.708037190083,15064090.0
2017-10-03,48.95,48.96,48.54,48.69,12589710.0,0.0,1.0,48.757840909091,48.767801652893,48.349450413223,48.498861570248,12589710.0
2017-10-02,48.72,49.0,48.57,48.8,24900992.0,0.0,1.0,48.528743801653,48.807644628099,48.379332644628,48.608429752066,24900992.0
2017-09-29,48.19,48.75,47.96,48.35,44858877.0,0.0,1.0,48.000824380165,48.558626033058,47.771727272727,48.160196280992,44858877.0
2017-09-28,48.2,48.25,48.005,48.08,12798549.0,0.0,1.0,48.010785123967,48.060588842975,47.816550619835,47.891256198347,12798549.0
2017-09-27,48.05,48.36,47.95,48.16,14356942.0,0.0,1.0,47.861373966942,48.170157024793,47.761766528926,47.97094214876,14356942.0
2017-09-26,48.1,48.21,47.89,47.92,18491216.0,0.0,1.0,47.91117768595,48.020745867769,47.702002066116,47.731884297521,18491216.0
2017-09-25,48.52,48.54,47.64,47.97,15505622.0,0.0,1.0,48.32952892562,48.349450413223,47.452983471074,47.781688016529,15505622.0
2017-09-22,47.92,48.425,47.92,48.16,15113444.0,0.0,1.0,47.731884297521,48.234901859504,47.731884297521,47.97094214876,15113444.0
2017-09-21,47.82,48.19,47.82,47.97,15122773.0,0.0,1.0,47.632276859504,48.000824380165,47.632276859504,47.781688016529,15122773.0
2017-09-20,48.0,48.19,47.69,47.97,21131016.0,0.0,1.0,47.811570247934,48.000824380165,47.502787190083,47.781688016529,21131016.0
2017-09-19,48.49,48.5,47.88,48.04,22712871.0,0.0,1.0,48.299646694215,48.309607438017,47.692041322314,47.85141322314,22712871.0
